"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"BIRC6",5.64554871557305e-48,-0.586291635993792,0.625,0.798,1.21802713538489e-43
"PIAS1",8.15938389303959e-48,-0.728679869606643,0.477,0.682,1.76038707492329e-43
"HNRNPC",1.03168311262319e-47,-0.620873954144803,0.568,0.757,2.22585631548453e-43
"CLIC1",1.04638189550397e-47,0.772467154115643,0.648,0.461,2.25756893954982e-43
"BRIP1",1.56642320811806e-47,-2.01953624603578,0.07,0.233,3.37955807151471e-43
"AHRR",1.57037267305112e-47,-0.816956648120463,0.366,0.586,3.3880790421078e-43
"RRM2",1.71931278341865e-47,-1.87907343220518,0.061,0.222,3.70941733022573e-43
"JPX",1.81528657486883e-47,-0.992303818277108,0.294,0.503,3.91648078527949e-43
"P2RY8",3.37183720550683e-47,-1.45249423670021,0.107,0.293,7.27473877088099e-43
"DTL",4.75268407150749e-47,-2.73208658891376,0.025,0.16,1.02539158842774e-42
"TGFBI",5.60753074228192e-47,0.801661045073905,0.441,0.229,1.20982475764732e-42
"PUM2",5.62889743668398e-47,-0.715756754644664,0.398,0.627,1.21443462196457e-42
"RPL9",7.68138294980467e-47,-0.706299463654229,0.539,0.727,1.65725837142036e-42
"DEPDC1B",8.08456935938404e-47,-3.25451620528999,0.015,0.14,1.74424583928711e-42
"SRPK1",1.27698590950551e-46,-1.18489502594851,0.277,0.477,2.75509709975815e-42
"PID1",1.78151324361078e-46,0.514984416557894,0.389,0.18,3.84361482309026e-42
"NT5C2",1.99095945348995e-46,-0.677350780123225,0.517,0.72,4.29549502090456e-42
"CYTL1",2.42201728458412e-46,-3.67424364967772,0.015,0.139,5.22550229149025e-42
"ANKRD11",2.74355646238612e-46,-0.729986738400571,0.419,0.649,5.91922306759804e-42
"JARID2",2.74645598358753e-46,-0.617692711636702,0.679,0.813,5.9254787845901e-42
"TAOK3",2.99587975679926e-46,-0.554953143170901,0.72,0.856,6.46361057529441e-42
"BRCA1",3.05634762924608e-46,-2.14637628298254,0.066,0.223,6.59407001009841e-42
"MAN1A1",3.25528788514608e-46,-1.45569270229006,0.217,0.406,7.02328361220266e-42
"H1-5",3.87480604495061e-46,-2.44800555589077,0.061,0.216,8.35989404198094e-42
"COMMD10",6.98683261481107e-46,-1.02507619885056,0.289,0.491,1.50740913664549e-41
"MIS18BP1",7.13662870816944e-46,-1.20213764506844,0.206,0.401,1.53972764378756e-41
"GRK3",7.8977918825992e-46,-0.87727471677981,0.328,0.542,1.70394859867078e-41
"MLLT10",8.05735537949539e-46,-0.97198883138158,0.289,0.498,1.73837442312613e-41
"RCOR1",8.44524926685147e-46,-0.954027497334943,0.31,0.518,1.8220625293232e-41
"PRKDC",1.12606577358433e-45,-1.0452962556737,0.296,0.499,2.4294869065082e-41
"CTSS",1.140527833685e-45,1.07082686478534,0.529,0.343,2.4606888011754e-41
"PTBP3",1.26513912528418e-45,-0.705880175612171,0.464,0.681,2.72953766280063e-41
"CBX4",1.35869505468994e-45,-7.7237576047193,0,0.105,2.93138458049354e-41
"GPHN",1.37621284752318e-45,-1.41868196680263,0.163,0.349,2.96917921853126e-41
"KANSL1",1.44429627525365e-45,-0.570717642883851,0.635,0.798,3.11606921385975e-41
"CTSB",1.51081152473395e-45,0.68340921261777,0.674,0.491,3.25957586461349e-41
"ARID2",1.66971105893337e-45,-0.796323563282749,0.379,0.59,3.60240160964875e-41
"KIF15",1.73548093630163e-45,-2.8253785089663,0.02,0.148,3.74430012007077e-41
"ERG",1.75368938264044e-45,-4.95620369071967,0.002,0.111,3.78358484304675e-41
"PARP8",1.768612525294e-45,-0.62042495799735,0.521,0.725,3.81578152332181e-41
"C1QC",2.4020733080984e-45,1.93762135207881,0.277,0.121,5.1824731622223e-41
"CNTRL",2.75396926911556e-45,-0.967744006137623,0.305,0.512,5.94168869811683e-41
"ZNRF1",3.09088198135963e-45,-1.41531273919556,0.1,0.278,6.66857787478341e-41
"TAF15",5.51196547051318e-45,-0.793659617949454,0.376,0.592,1.18920655026322e-40
"CTSD",6.11863980519127e-45,0.828388279374132,0.772,0.631,1.32009653797002e-40
"AIG1",1.03723821811738e-44,-1.89677777392441,0.114,0.283,2.23784145558824e-40
"HLA-A",1.05999375709447e-44,0.541497079131557,0.864,0.737,2.28693653093131e-40
"RPS2",1.16868009625605e-44,-0.699632452959654,0.796,0.879,2.52142730767244e-40
"SSH2",1.2933318486977e-44,-0.558109265761247,0.615,0.801,2.79036346356529e-40
"FKBP5",1.88140059350633e-44,-1.10413900095748,0.224,0.425,4.0591217804899e-40
"BLM",1.9053798050501e-44,-1.80274590086613,0.065,0.223,4.11085692939559e-40
"DNAJC1",2.83290105788952e-44,-0.923222051870617,0.31,0.516,6.11198403239665e-40
"INPP5D",2.85229875464457e-44,-0.780839858502333,0.342,0.56,6.15383456314566e-40
"TMTC2",5.46776878619945e-44,-1.10665243489507,0.293,0.498,1.17967111562253e-39
"SLC7A1",7.38119691033538e-44,-1.77093072494392,0.07,0.228,1.59249323340486e-39
"ARL6IP5",7.54995998892609e-44,0.700191427108574,0.7,0.533,1.6289038676108e-39
