"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.25650370997498e-06,0.320163996404367,0.575,0.44,0.0918340675427102,"10","CNTRL"
4.2685111436892e-06,0.316467563058102,0.427,0.307,0.0920931279250945,"10","CMSS1"
4.33905847235277e-06,0.58202699134509,0.277,0.186,0.093615186541011,"10","GMCL1"
4.39504647081838e-06,0.442951641784899,0.59,0.477,0.0948231276079065,"10","TNIK"
4.39860932097264e-06,0.564433915527706,0.257,0.169,0.0948999960999847,"10","UFM1"
4.4230620978922e-06,0.441244778936339,0.325,0.222,0.0954275647620242,"10","CEBPZ"
4.47120874252835e-06,0.518047362044209,0.269,0.178,0.0964663286200492,"10","PARVG"
4.49469852219517e-06,0.596007718848702,0.478,0.356,0.0969731206163609,"10","SCFD2"
4.58653371193289e-06,0.446475342847009,0.286,0.19,0.098954464834952,"10","ENSG00000291075"
4.62747226607394e-06,0.384626246690116,0.405,0.29,0.0998377141405453,"10","GPATCH2"
4.67514425653576e-06,0.563961843753029,0.592,0.514,0.100866237334759,"10","ATP13A3"
4.72412634768883e-06,0.461509771393824,0.289,0.193,0.101923025951387,"10","SNU13"
4.80553384836462e-06,0.349129396838281,0.376,0.262,0.103679392778467,"10","PFDN1"
4.86687228233392e-06,0.444571783530539,0.347,0.243,0.105002769491354,"10","CCNT2"
4.89247233699526e-06,0.319015157619486,0.493,0.368,0.105555090670673,"10","NPEPPS"
4.89647734233663e-06,0.326826317783144,0.532,0.401,0.105641498660913,"10","EPB41"
5.07159164985384e-06,0.441852130758767,0.289,0.192,0.109419589845597,"10","SYPL1"
5.15601969018028e-06,0.342568698670316,0.551,0.432,0.111241124815639,"10","USP48"
5.19438802511447e-06,0.487066622458496,0.379,0.278,0.112068921641845,"10","EAF2"
5.21409605349027e-06,0.342043318096088,0.51,0.384,0.112494122354052,"10","CD164"
5.30386490326541e-06,0.411333536726752,0.369,0.261,0.114430885287951,"10","IPCEF1"
5.3601885680933e-06,0.369879491028609,0.541,0.417,0.115646068356613,"10","TUBA1B"
5.48235532405983e-06,0.408945885551962,0.4,0.289,0.118281816116591,"10","ETFA"
5.51125301290236e-06,0.366186587783163,0.493,0.375,0.118905283753368,"10","FOXJ3"
5.543292008867e-06,0.357895881075594,0.471,0.353,0.119596525091306,"10","AKAP10"
5.64884230380427e-06,0.270033526231038,0.388,0.271,0.121873772704577,"10","PPDPF"
5.80657519546663e-06,0.38314070208347,0.369,0.26,0.125276859842192,"10","TMEM50A"
5.87688792024223e-06,0.463836494585797,0.347,0.245,0.126793856879226,"10","ARFIP1"
5.92876954239225e-06,0.468836966428745,0.379,0.274,0.127913202877113,"10","SPATS2"
6.0934603740086e-06,0.352532506584754,0.473,0.354,0.131466407569236,"10","LRCH3"
6.10138667342998e-06,0.424486260674973,0.337,0.235,0.131637417479252,"10","UBE2G2"
6.41336185636562e-06,0.31490889006516,0.621,0.497,0.138368282051088,"10","FRYL"
6.44305817001029e-06,0.48624974610626,0.352,0.249,0.139008980017972,"10","UGGT1"
6.49723216370842e-06,0.307189411253847,0.59,0.457,0.140177783932009,"10","RNASEK"
6.59110195564902e-06,0.332086268747334,0.35,0.242,0.142203024693128,"10","YWHAQ"
6.60144393152111e-06,0.443992099073341,0.301,0.204,0.142426152822568,"10","CAPNS1"
7.03955564602501e-06,0.507788859440945,0.296,0.202,0.15187841306299,"10","LIMD1"
7.06490962566358e-06,0.263012873393369,0.536,0.404,0.152425425173692,"10","TUT4"
7.16123236426775e-06,0.407033758411858,0.337,0.234,0.154503588259077,"10","SEC61B"
7.25539043023996e-06,0.931876669667437,0.252,0.171,0.156535048532427,"10","TNFSF10"
7.36295391118614e-06,0.433814327719776,0.328,0.227,0.158855730633841,"10","UBE2N"
7.38139740527748e-06,0.374068107897738,0.466,0.346,0.159253649018862,"10","ARL6IP1"
7.84776308765542e-06,0.369011203248962,0.32,0.219,0.169315488616166,"10","PRPF38B"
7.89757424824279e-06,0.50591300263975,0.26,0.171,0.170390164405838,"10","PPIL4"
7.96947237500589e-06,0.408639542437898,0.391,0.284,0.171941366490752,"10","IST1"
8.00935134704195e-06,0.293508534027735,0.604,0.471,0.17280175531243,"10","CAPRIN1"
8.16107924699543e-06,0.406386357105011,0.43,0.324,0.176075284753926,"10","H2AZ1"
8.19513345924563e-06,0.425293620913992,0.274,0.181,0.176810004383225,"10","UBE2V2"
8.24014960834313e-06,0.566112053486943,0.257,0.171,0.177781227800003,"10","ITGA5"
8.31715486869292e-06,0.262062153367129,0.604,0.465,0.17944261629205,"10","HECTD1"
8.47601228539862e-06,0.505268375246871,0.396,0.289,0.182869965057475,"10","PELI2"
8.74062741411439e-06,0.406113825658736,0.345,0.242,0.188579036459518,"10","MTR"
8.74889167644476e-06,0.37736906033652,0.337,0.234,0.188757337919296,"10","NR2C2"
8.78421303508318e-06,0.436774435447643,0.376,0.274,0.18951939623192,"10","PNRC2"
8.82127638637821e-06,0.28105134132315,0.558,0.429,0.19031903803611,"10","BRWD1"
9.32776163883769e-06,0.476325192194591,0.345,0.246,0.201246457357923,"10","SCAMP2"
9.47876937888047e-06,0.393737240271169,0.313,0.214,0.204504449349346,"10","PAIP2"
9.52752274810761e-06,0.580590469140739,0.26,0.173,0.205556303290422,"10","MYO1G"
9.56348370238924e-06,0.458140361119312,0.289,0.196,0.206332160879048,"10","COPS2"
9.69291131887505e-06,0.350830139381028,0.415,0.303,0.209124561704729,"10","RNF115"
9.89805851039341e-06,0.366415440624684,0.379,0.268,0.213550612361738,"10","EMSY"
9.98487922717187e-06,0.28170601146343,0.583,0.465,0.215423769326233,"10","MED13"
