"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"EDEM3",1.71408123672538e-20,-0.518445860084461,0.288,0.403,3.698130268235e-16
"GPSM2",1.71525947699472e-20,-1.11718549931844,0.068,0.142,3.70067232161611e-16
"ASB3",1.71723329354606e-20,-0.631205320155591,0.237,0.342,3.70493083082562e-16
"AFF1",1.79214863724868e-20,-0.385947831983221,0.661,0.71,3.86656068486403e-16
"CIITA",1.89761148810666e-20,0.507318965719829,0.343,0.229,4.09409678559012e-16
"PDPR",1.90687255318327e-20,-0.731607600513262,0.181,0.279,4.1140775334929e-16
"PLS1",1.95473244939358e-20,-1.577137476858,0.029,0.085,4.21733525956665e-16
"WDR59",1.95616603734842e-20,-0.827530016300403,0.126,0.216,4.22042822557922e-16
"RANBP1",2.00083867280322e-20,-0.756581080412186,0.12,0.21,4.31680943657295e-16
"TRAPPC4",2.16307295974031e-20,1.39454887223711,0.118,0.052,4.66682991063972e-16
"FAM215B",2.1788797081397e-20,6.51820459763644,0.028,0,4.7009329703114e-16
"ENSG00000291221",2.17925165965891e-20,6.56603312272706,0.028,0,4.7017354557141e-16
"CTBP1-DT",2.17994817134565e-20,6.61232677500099,0.028,0,4.70323817967823e-16
"PDCD1LG2",2.28819108868633e-20,0.775756414348302,0.203,0.115,4.93677227384077e-16
