"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"ITGAV",1.08122753683609e-06,-0.381225278571135,0.178,0.24,0.0233274841072386
"CLDN7",1.08747673971041e-06,0.913881326405724,0.063,0.033,0.0234623106592521
"NIN",1.09403724971673e-06,-0.125492442960538,0.386,0.486,0.0236038536626385
"ADI1",1.11835295134524e-06,-0.455431449226182,0.183,0.243,0.0241284649252736
"BLTP3A",1.12606062986315e-06,-0.533213048567405,0.129,0.183,0.0242947580892975
"SCYL2",1.13529973810164e-06,-0.355887184620668,0.196,0.259,0.024494091849543
"EAPP",1.16851340237781e-06,0.630134583593413,0.186,0.136,0.0252106766563012
"ADAT2",1.17031764251042e-06,-0.807298300262001,0.038,0.073,0.0252496031371624
"KLHL13",1.17384041709214e-06,-1.95344866746161,0.006,0.025,0.0253256069987628
"DUSP14",1.17527894927083e-06,1.09880156085652,0.048,0.022,0.0253566433305182
"CNOT1",1.17650880441476e-06,-0.252783837653403,0.287,0.365,0.0253831774552484
"METTL5",1.1852530982732e-06,0.64006345678662,0.154,0.107,0.0255718355952442
"PDPN",1.20849444227537e-06,0.919052652614064,0.065,0.034,0.0260732675920912
"PRMT1",1.20890662603013e-06,0.682704000379732,0.172,0.125,0.0260821604566
"ZBTB21",1.23178653462996e-06,1.01133102077757,0.071,0.039,0.0265757944846415
"LINC01772",1.23823690475936e-06,-4.61826447587198,0,0.013,0.0267149612201832
"KDM4A-AS1",1.23823690475936e-06,-4.61826447587198,0,0.013,0.0267149612201832
"ENSG00000270277",1.23823690475936e-06,-4.61826447587198,0,0.013,0.0267149612201832
"NCF4-AS1",1.23823690475936e-06,-4.61826447587198,0,0.013,0.0267149612201832
"AGMAT",1.23826111678167e-06,-4.68865380376338,0,0.013,0.0267154835945644
"GASK1A",1.23826111678167e-06,-4.65388838560271,0,0.013,0.0267154835945644
"EXOC3-AS1",1.23826111678167e-06,-4.65388838560271,0,0.013,0.0267154835945644
"QRICH2",1.23826111678167e-06,-4.65388838560271,0,0.013,0.0267154835945644
"ENSG00000239407",1.23826111678167e-06,-4.65388838560271,0,0.013,0.0267154835945644
"LINC00324",1.23828402041171e-06,-4.68865380376338,0,0.013,0.0267159777403826
"KCNIP1",1.23830550652121e-06,-4.75576799962192,0,0.013,0.0267164413031951
"SORBS1",1.23830550652121e-06,-4.7881894773143,0,0.013,0.0267164413031951
"PVRIG",1.23832604767987e-06,-4.75576799962192,0,0.013,0.0267168844786931
"PARM1",1.23843406615962e-06,-5.12922639514936,0,0.013,0.0267192149773938
"ENSG00000243960",1.23854361973567e-06,-4.58173859984687,0,0.013,0.026721578595797
"ENSG00000241772",1.23854361973567e-06,-4.58173859984687,0,0.013,0.026721578595797
"PCDHGA10",1.23854361973567e-06,-4.58173859984687,0,0.013,0.026721578595797
"ADCK5",1.23854361973567e-06,-4.58173859984687,0,0.013,0.026721578595797
"QPRT",1.23936090312474e-06,-0.779226972445908,0.062,0.102,0.0267392114849163
"EMP2",1.25636138780942e-06,2.05158692243569,0.024,0.007,0.0271059969419881
"NAV2",1.26037176322708e-06,1.80704135886069,0.082,0.049,0.0271925207916242
"STAMBP",1.26372026067466e-06,0.632945621560903,0.182,0.133,0.0272647646240558
"RNMT",1.26526046376228e-06,0.631455576680929,0.234,0.183,0.0272979945056711
"KATNBL1",1.26593680805414e-06,-0.368596815591291,0.204,0.268,0.027312586633768
"SCG2",1.2752535440403e-06,3.80319929256629,0.011,0.001,0.0275135952126695
"RBM22",1.30491755588528e-06,0.595022359011554,0.168,0.119,0.028153596268225
"YPEL3",1.3058002359762e-06,0.69544311221041,0.15,0.105,0.0281726400911866
